post_id,upload_date,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers_gained,traffic_source,engagement_rate,content_category
POST_00180,2024-01-01,Reel,5838,549,85,479,48006,66978,385,4,411,Home Feed,14.48,Food
POST_00420,2024-01-02,Video,1726,82,50,260,13130,19137,297,27,62,Home Feed,16.13,Beauty
POST_00302,2024-01-02,Photo,175,16,2,8,1703,4249,292,14,17,Explore,11.8,Travel
POST_00163,2024-01-02,Photo,194,13,9,31,1525,3723,326,10,11,Hashtag,16.2,Fashion
POST_00032,2024-01-04,Reel,4790,480,243,575,35087,65866,185,20,81,Explore,17.35,Education
POST_00230,2024-01-04,Photo,1036,67,74,134,7262,12227,282,26,52,Explore,18.05,Food
POST_00431,2024-01-05,Reel,2152,252,143,201,14852,28658,139,26,122,Other,18.5,Beauty
POST_00390,2024-01-05,Video,1831,165,55,248,11884,18303,247,10,111,Explore,19.35,Beauty
POST_00366,2024-01-05,Reel,1513,159,116,160,30519,46910,116,5,209,Explore,6.38,Fitness
POST_00150,2024-01-06,Reel,4668,201,113,317,31958,57226,147,3,83,Home Feed,16.58,Beauty
POST_00290,2024-01-08,Photo,330,13,4,37,4072,7820,35,18,11,Home Feed,9.43,Beauty
POST_00184,2024-01-10,Carousel,480,33,37,26,15588,19550,116,2,102,Explore,3.7,Travel
POST_00224,2024-01-11,Reel,281,18,20,33,5968,13459,215,20,37,Home Feed,5.9,Lifestyle
POST_00483,2024-01-13,Photo,1473,155,74,278,13640,25647,45,18,73,Home Feed,14.52,Fitness
POST_00463,2024-01-13,Video,1976,107,156,277,19484,45615,36,24,226,Home Feed,12.91,Technology
POST_00003,2024-01-13,Video,2800,270,45,475,17069,27679,251,26,38,Hashtag,21.03,Beauty
POST_00021,2024-01-14,Photo,466,43,31,33,14631,24168,153,10,59,Home Feed,3.92,Lifestyle
POST_00498,2024-01-15,Reel,1259,104,94,231,9255,14437,338,11,133,Home Feed,18.24,Education
POST_00015,2024-01-16,Reel,2859,333,150,255,21967,46064,174,24,229,Home Feed,16.37,Technology
POST_00014,2024-01-17,Reel,7140,456,437,624,40201,57402,26,16,486,Hashtag,21.53,Food
POST_00237,2024-01-17,Reel,2937,154,70,394,34856,50775,389,12,305,Hashtag,10.2,Beauty
POST_00103,2024-01-17,Reel,1705,108,99,244,9780,17581,46,22,41,Home Feed,22.04,Travel
POST_00437,2024-01-19,Reel,4062,248,178,546,44575,94507,149,12,449,Hashtag,11.29,Fitness
POST_00474,2024-01-20,Carousel,2431,226,93,201,20625,39193,127,5,220,Direct,14.31,Fashion
POST_00343,2024-01-21,Reel,1595,114,57,112,19437,41913,128,5,238,Hashtag,9.66,Lifestyle
POST_00447,2024-01-21,Carousel,1488,54,65,83,19866,34473,387,14,208,Other,8.51,Education
POST_00444,2024-01-22,Reel,859,76,17,143,21035,48485,292,3,156,Hashtag,5.21,Food
POST_00049,2024-01-23,Photo,1925,171,58,359,13529,24100,78,4,120,Hashtag,18.57,Technology
POST_00419,2024-01-23,Photo,2636,229,107,274,14673,30085,234,23,51,Home Feed,22.12,Technology
POST_00064,2024-01-24,Reel,327,36,4,46,5105,11369,20,2,67,Direct,8.09,Technology
POST_00134,2024-01-25,Reel,2152,185,127,109,13595,23668,366,15,92,Home Feed,18.93,Lifestyle
POST_00322,2024-01-26,Video,1323,49,83,189,7450,14369,159,4,57,Home Feed,22.07,Food
POST_00287,2024-01-26,Photo,183,10,12,32,5440,7857,198,1,11,Home Feed,4.36,Fashion
POST_00414,2024-01-27,Photo,1662,58,36,250,11037,19253,133,17,136,Hashtag,18.18,Education
POST_00263,2024-01-28,Reel,4606,312,259,801,48753,111786,41,25,320,Direct,12.26,Lifestyle
POST_00101,2024-01-29,Reel,4785,366,273,753,31745,40625,98,13,291,Home Feed,19.46,Food
POST_00321,2024-01-30,Photo,367,32,29,28,2388,4608,100,25,20,Home Feed,19.1,Education
POST_00189,2024-01-30,Photo,102,4,6,13,1269,1542,144,6,11,Home Feed,9.85,Food
POST_00328,2024-01-30,Photo,1202,139,90,90,10816,19985,148,26,161,Hashtag,14.06,Technology
POST_00316,2024-01-30,Photo,215,22,10,30,4553,8945,115,4,19,Hashtag,6.08,Travel
POST_00234,2024-01-31,Photo,2229,182,96,165,13020,31586,87,29,120,Home Feed,20.52,Beauty
POST_00299,2024-01-31,Photo,420,24,5,41,4291,5979,93,29,37,Profile,11.42,Technology
POST_00319,2024-02-01,Reel,6329,413,323,430,38768,49790,29,13,471,Explore,19.33,Fashion
POST_00268,2024-02-01,Video,1086,90,17,145,11206,17781,50,27,34,Explore,11.94,Travel
POST_00222,2024-02-02,Photo,1395,56,30,242,11573,22650,373,18,82,Direct,14.89,Fashion
POST_00142,2024-02-02,Reel,2644,141,138,256,20282,24657,359,21,116,Profile,15.67,Beauty
POST_00107,2024-02-03,Photo,418,49,4,25,5790,12179,266,27,46,Home Feed,8.57,Technology
POST_00236,2024-02-04,Video,1183,119,34,231,8980,12194,71,22,109,Explore,17.45,Travel
POST_00334,2024-02-04,Reel,1355,133,106,88,14108,31393,116,12,95,Profile,11.92,Education
POST_00378,2024-02-05,Reel,1645,155,20,165,13906,24584,20,5,165,Explore,14.27,Technology
POST_00063,2024-02-05,Video,798,38,16,53,5041,11330,302,24,42,Home Feed,17.95,Lifestyle
POST_00489,2024-02-05,Carousel,274,18,15,14,5472,9383,357,12,26,Other,5.87,Beauty
POST_00332,2024-02-05,Video,982,55,24,61,6806,15111,230,16,28,Home Feed,16.49,Fitness
POST_00195,2024-02-05,Reel,4230,498,146,826,47240,104261,180,12,100,Home Feed,12.07,Fashion
POST_00085,2024-02-06,Reel,1320,101,59,71,13601,17526,118,27,49,Explore,11.4,Fitness
POST_00239,2024-02-06,Photo,70,4,1,4,2229,4546,304,23,21,Home Feed,3.54,Beauty
POST_00231,2024-02-06,Video,124,12,6,6,3058,5387,315,6,5,Home Feed,4.84,Lifestyle
POST_00365,2024-02-07,Carousel,1803,58,119,334,11234,27218,53,2,87,Explore,20.6,Education
POST_00371,2024-02-07,Reel,7163,366,358,1223,44338,99469,22,12,337,Profile,20.55,Lifestyle
POST_00283,2024-02-08,Reel,1873,166,61,214,36463,53427,327,23,59,Home Feed,6.35,Beauty
POST_00433,2024-02-08,Photo,709,47,24,101,5815,7845,164,16,28,Hashtag,15.15,Fitness
POST_00054,2024-02-10,Carousel,1757,148,24,233,17451,43449,219,14,165,Hashtag,12.39,Lifestyle
POST_00068,2024-02-10,Video,1083,43,72,184,8082,11521,106,28,45,Explore,17.1,Lifestyle
POST_00192,2024-02-10,Carousel,1505,172,73,260,14083,23366,190,19,162,Explore,14.27,Food
POST_00345,2024-02-11,Reel,2278,210,49,410,44778,108051,211,22,82,Home Feed,6.58,Lifestyle
POST_00330,2024-02-11,Reel,986,53,33,161,8726,11135,77,27,115,Direct,14.13,Technology
POST_00193,2024-02-13,Carousel,1195,139,38,236,16149,25604,78,11,148,Hashtag,9.96,Technology
POST_00011,2024-02-14,Reel,4608,508,125,382,43565,55684,292,14,364,Home Feed,12.91,Technology
POST_00133,2024-02-16,Reel,7143,304,419,416,39839,48378,33,9,293,Home Feed,20.79,Fitness
POST_00291,2024-02-17,Reel,1503,148,25,160,36890,44518,398,15,304,Explore,4.98,Beauty
POST_00042,2024-02-17,Photo,1338,84,79,232,9783,15085,334,1,107,Explore,17.71,Fashion
POST_00415,2024-02-17,Photo,761,48,15,132,10600,16304,218,27,74,Home Feed,9.02,Fashion
POST_00016,2024-02-17,Reel,4351,165,248,217,34759,50790,29,29,365,Explore,14.33,Fitness
POST_00255,2024-02-18,Reel,1658,136,90,171,45363,109715,43,25,468,Profile,4.53,Technology
POST_00256,2024-02-19,Photo,707,54,23,79,14605,18345,102,7,30,Hashtag,5.91,Fashion
POST_00044,2024-02-19,Carousel,857,84,35,46,19019,24989,198,25,86,Hashtag,5.37,Beauty
POST_00267,2024-02-20,Photo,1565,75,36,284,10556,19643,117,10,134,Home Feed,18.57,Lifestyle
POST_00286,2024-02-20,Reel,2542,199,172,182,47823,95683,340,8,246,Hashtag,6.47,Fitness
POST_00370,2024-02-21,Reel,1297,89,26,226,18178,26211,90,24,59,Home Feed,9.01,Fashion
POST_00070,2024-02-21,Carousel,1625,87,28,264,21440,35374,142,4,142,Home Feed,9.35,Technology
POST_00008,2024-02-22,Carousel,903,95,24,152,21259,40926,99,21,63,Explore,5.52,Technology
POST_00453,2024-02-22,Photo,519,44,20,45,12695,22813,202,16,21,Home Feed,4.95,Education
POST_00041,2024-02-22,Reel,2442,154,66,267,43559,69435,241,7,43,Home Feed,6.72,Technology
POST_00395,2024-02-23,Reel,2210,231,118,199,47641,104201,134,3,238,Home Feed,5.79,Technology
POST_00399,2024-02-24,Video,678,23,9,39,4137,7586,223,21,58,Profile,18.1,Travel
POST_00168,2024-02-24,Reel,5021,351,167,745,40133,61446,204,19,111,Direct,15.66,Fitness
POST_00472,2024-02-25,Carousel,2292,110,80,329,21733,39187,66,6,259,Home Feed,12.93,Fashion
POST_00271,2024-02-25,Video,1510,161,60,241,9519,22229,266,25,19,Hashtag,20.72,Fashion
POST_00135,2024-02-26,Carousel,1963,196,43,160,18140,33119,329,3,255,Hashtag,13.02,Food
POST_00002,2024-02-27,Carousel,358,18,21,38,6224,11781,130,23,12,Direct,6.99,Lifestyle
POST_00185,2024-02-27,Reel,1281,106,18,190,41142,53905,20,12,211,Home Feed,3.88,Education
POST_00432,2024-02-27,Video,1301,52,26,156,8295,15597,116,5,33,Home Feed,18.51,Technology
POST_00158,2024-02-27,Video,1154,86,62,86,17596,29713,100,12,218,Home Feed,7.89,Beauty
POST_00152,2024-02-28,Reel,2818,244,110,365,17201,22834,292,14,117,Home Feed,20.56,Technology
POST_00398,2024-02-29,Photo,1857,168,128,282,11828,15198,326,4,108,Hashtag,20.59,Lifestyle
POST_00499,2024-02-29,Carousel,688,58,53,93,17484,43335,150,3,109,Direct,5.1,Food
POST_00338,2024-03-02,Video,766,48,39,57,19824,32246,63,25,112,Home Feed,4.59,Fitness
POST_00219,2024-03-02,Photo,73,2,4,6,1956,3091,201,22,24,Explore,4.35,Technology
POST_00052,2024-03-04,Video,1179,58,36,67,14236,34098,176,11,123,Home Feed,9.41,Beauty
POST_00197,2024-03-05,Video,2161,96,32,220,17635,25407,125,2,173,Home Feed,14.23,Fashion
POST_00198,2024-03-06,Carousel,418,30,14,24,8895,12687,124,8,112,Direct,5.46,Food
POST_00443,2024-03-06,Reel,7364,411,334,982,42778,103925,356,24,573,Home Feed,21.25,Travel
POST_00422,2024-03-07,Video,244,23,8,15,3300,5950,93,29,14,Other,8.79,Beauty
POST_00376,2024-03-08,Reel,3358,116,117,215,32764,70322,62,9,44,Explore,11.62,Technology
POST_00359,2024-03-08,Carousel,2745,204,60,300,24636,30402,353,28,328,Hashtag,13.43,Travel
POST_00247,2024-03-08,Photo,44,1,1,5,1125,2023,217,19,10,Direct,4.53,Fitness
POST_00396,2024-03-09,Carousel,2417,269,188,251,15289,27285,210,15,172,Profile,20.44,Fitness
POST_00130,2024-03-11,Photo,1951,122,76,362,13080,29767,211,23,136,Home Feed,19.2,Fashion
POST_00277,2024-03-12,Video,2109,140,103,306,17552,26691,297,11,29,Profile,15.14,Beauty
POST_00007,2024-03-12,Reel,2268,123,24,400,18547,38214,239,4,124,Hashtag,15.18,Travel
POST_00119,2024-03-12,Carousel,1424,104,36,198,19002,37999,260,11,69,Profile,9.27,Technology
POST_00117,2024-03-14,Video,589,29,20,37,4920,12278,241,27,49,Home Feed,13.72,Lifestyle
POST_00441,2024-03-16,Reel,1914,140,37,293,41041,75109,156,22,52,Home Feed,5.81,Beauty
POST_00435,2024-03-17,Reel,4031,376,84,460,39084,83626,248,28,483,Home Feed,12.67,Travel
POST_00175,2024-03-19,Photo,297,15,4,19,4155,9820,233,2,38,Explore,8.06,Beauty
POST_00136,2024-03-19,Reel,704,57,31,105,17803,21807,228,29,80,Home Feed,5.04,Food
POST_00401,2024-03-20,Reel,7986,446,117,868,49139,62969,227,1,373,Hashtag,19.16,Food
POST_00038,2024-03-20,Reel,4633,319,301,646,44499,98638,73,26,498,Explore,13.26,Lifestyle
POST_00458,2024-03-20,Photo,1297,68,83,195,8622,12192,61,6,25,Explore,19.06,Travel
POST_00312,2024-03-20,Reel,5872,607,372,983,40941,82105,225,11,384,Other,19.13,Fashion
POST_00161,2024-03-21,Reel,1452,79,15,269,16561,36774,167,2,237,Explore,10.96,Education
POST_00327,2024-03-21,Photo,117,9,6,8,1454,3304,359,19,17,Explore,9.63,Beauty
POST_00382,2024-03-21,Photo,164,13,11,26,1140,2272,243,10,10,Explore,18.77,Travel
POST_00470,2024-03-22,Carousel,704,67,30,108,14543,17965,395,25,204,Home Feed,6.25,Beauty
POST_00138,2024-03-22,Video,653,67,46,72,5453,11933,108,17,50,Home Feed,15.37,Fashion
POST_00033,2024-03-22,Reel,2930,257,139,351,37981,76366,208,16,480,Home Feed,9.68,Beauty
POST_00177,2024-03-23,Photo,383,18,25,45,4814,9618,181,21,43,Home Feed,9.78,Lifestyle
POST_00425,2024-03-23,Reel,5204,285,99,1031,33552,55507,195,16,309,Hashtag,19.73,Education
POST_00460,2024-03-24,Reel,2824,264,90,278,31122,67963,120,21,249,Other,11.1,Food
POST_00091,2024-03-24,Reel,1610,189,72,244,34545,60876,114,2,129,Home Feed,6.12,Travel
POST_00076,2024-03-24,Video,2511,103,87,475,15629,37503,184,15,43,Direct,20.32,Technology
POST_00202,2024-03-25,Reel,1154,103,68,96,11099,17143,337,21,30,Hashtag,12.8,Fashion
POST_00300,2024-03-25,Reel,1203,61,46,67,9033,14428,211,22,18,Home Feed,15.24,Fashion
POST_00293,2024-03-26,Video,1248,84,41,109,16287,20292,73,5,97,Home Feed,9.1,Travel
POST_00088,2024-03-28,Photo,928,92,15,176,8294,20337,387,23,59,Explore,14.6,Education
POST_00461,2024-03-31,Reel,2349,199,111,355,14160,26552,64,1,147,Explore,21.29,Technology
POST_00166,2024-04-01,Video,2009,68,138,347,14197,29736,220,17,93,Explore,18.05,Fashion
POST_00464,2024-04-01,Photo,488,40,35,74,7652,17932,92,9,89,Hashtag,8.32,Food
POST_00279,2024-04-03,Video,2342,246,132,258,17577,43755,394,2,28,Home Feed,16.94,Technology
POST_00331,2024-04-05,Reel,3183,267,149,587,28616,46773,217,22,361,Hashtag,14.63,Fitness
POST_00313,2024-04-07,Reel,3374,156,42,303,34165,56787,97,2,382,Hashtag,11.34,Beauty
POST_00274,2024-04-07,Carousel,1196,43,14,218,15373,21646,313,10,204,Other,9.57,Food
POST_00254,2024-04-07,Reel,1644,113,124,108,14110,34993,388,21,58,Hashtag,14.1,Fashion
POST_00061,2024-04-08,Reel,621,40,17,35,15361,35965,123,13,227,Other,4.64,Beauty
POST_00485,2024-04-08,Photo,156,14,8,18,1072,2391,173,8,10,Hashtag,18.28,Lifestyle
POST_00273,2024-04-08,Carousel,720,26,20,59,7612,16666,292,10,67,Direct,10.84,Food
POST_00174,2024-04-11,Reel,2042,218,87,347,40046,82381,339,13,349,Hashtag,6.73,Lifestyle
POST_00023,2024-04-11,Reel,2484,111,119,255,22773,50876,145,16,224,Home Feed,13.04,Fashion
POST_00210,2024-04-12,Reel,6867,778,332,704,41336,60656,37,29,377,Hashtag,21.0,Technology
POST_00477,2024-04-12,Reel,4767,149,302,671,36007,73951,98,22,101,Explore,16.36,Lifestyle
POST_00353,2024-04-14,Photo,445,52,23,61,3863,6563,116,26,11,Profile,15.04,Lifestyle
POST_00407,2024-04-14,Reel,2993,198,110,551,29489,69882,303,5,399,Home Feed,13.06,Fashion
POST_00405,2024-04-17,Reel,1462,87,110,130,8654,15009,81,26,58,Hashtag,20.67,Fashion
POST_00449,2024-04-17,Reel,3609,417,152,717,34344,65564,187,13,513,Hashtag,14.25,Fitness
POST_00079,2024-04-17,Reel,4959,329,323,262,38226,83877,246,17,413,Hashtag,15.36,Fitness
POST_00108,2024-04-18,Video,3007,319,181,350,18690,46328,283,22,199,Explore,20.64,Fitness
POST_00111,2024-04-18,Reel,1686,169,35,295,15181,20612,66,8,145,Hashtag,14.39,Beauty
POST_00207,2024-04-18,Reel,1833,56,19,318,20563,45238,75,16,32,Explore,10.83,Technology
POST_00297,2024-04-19,Video,869,43,69,83,13865,23269,84,19,41,Home Feed,7.67,Food
POST_00373,2024-04-19,Reel,1997,206,148,167,38174,69776,51,23,342,Profile,6.6,Education
POST_00245,2024-04-19,Reel,299,22,4,18,6239,9532,203,6,59,Explore,5.5,Lifestyle
POST_00039,2024-04-20,Photo,1870,133,78,373,12128,25727,203,26,144,Explore,20.23,Beauty
POST_00315,2024-04-21,Video,1008,112,53,54,6114,8075,346,26,39,Explore,20.07,Fitness
POST_00017,2024-04-21,Reel,1381,126,21,249,25172,47740,53,22,358,Hashtag,7.06,Fashion
POST_00098,2024-04-22,Photo,189,5,7,17,2560,5133,69,29,5,Other,8.52,Fitness
POST_00229,2024-04-22,Carousel,1704,108,95,259,18360,27393,125,1,73,Explore,11.8,Fitness
POST_00129,2024-04-22,Reel,2309,84,113,315,35027,60889,101,5,197,Home Feed,8.05,Fitness
POST_00028,2024-04-22,Photo,576,66,26,53,9920,24703,45,7,102,Hashtag,7.27,Food
POST_00476,2024-04-23,Carousel,562,37,23,39,13793,18442,224,19,89,Hashtag,4.79,Education
POST_00482,2024-04-24,Photo,1583,104,78,192,14031,20553,365,4,113,Home Feed,13.95,Technology
POST_00006,2024-04-24,Reel,3221,201,198,430,33541,83596,229,20,464,Hashtag,12.07,Technology
POST_00221,2024-04-25,Photo,192,17,11,32,4953,9819,269,12,14,Hashtag,5.09,Beauty
POST_00481,2024-04-26,Photo,2006,233,44,203,13323,32692,38,22,51,Profile,18.66,Food
POST_00066,2024-04-26,Photo,691,43,39,52,9619,12554,249,26,88,Explore,8.58,Food
POST_00227,2024-04-27,Carousel,280,9,17,18,3281,5380,267,7,44,Explore,9.88,Lifestyle
POST_00102,2024-04-27,Photo,151,9,3,23,4638,10273,89,4,39,Hashtag,4.01,Fashion
POST_00235,2024-04-27,Reel,5595,347,336,830,42946,64973,324,12,255,Hashtag,16.55,Fashion
POST_00069,2024-04-29,Reel,740,56,42,80,6925,14566,60,16,36,Home Feed,13.26,Technology
POST_00018,2024-04-29,Photo,1940,144,148,327,11960,15855,55,1,61,Profile,21.4,Food
POST_00336,2024-04-30,Reel,2800,213,185,417,40643,72029,42,2,143,Explore,8.89,Fitness
POST_00241,2024-05-01,Carousel,4002,206,159,269,23969,54187,28,6,224,Hashtag,19.34,Technology
POST_00292,2024-05-01,Reel,1700,51,135,318,18598,40716,80,1,82,Hashtag,11.85,Technology
POST_00459,2024-05-01,Reel,4863,441,342,860,28711,46778,231,4,374,Home Feed,22.66,Fitness
POST_00188,2024-05-02,Photo,75,8,2,5,1629,2105,279,2,11,Direct,5.52,Beauty
POST_00356,2024-05-02,Photo,194,18,8,18,2177,3134,313,2,6,Home Feed,10.93,Travel
POST_00190,2024-05-03,Reel,2380,241,96,224,15831,38682,101,8,33,Explore,18.58,Education
POST_00251,2024-05-04,Reel,1085,60,31,153,11638,23892,84,21,110,Home Feed,11.42,Lifestyle
POST_00090,2024-05-05,Photo,1565,120,76,221,8867,21773,336,8,114,Hashtag,22.35,Fashion
POST_00005,2024-05-05,Reel,873,34,62,55,16536,34235,91,8,95,Home Feed,6.19,Beauty
POST_00379,2024-05-05,Video,530,57,21,95,6146,13203,80,13,54,Explore,11.44,Fitness
POST_00340,2024-05-06,Reel,982,102,41,52,13927,18316,301,18,95,Home Feed,8.45,Fitness
POST_00120,2024-05-06,Photo,1720,167,79,124,12163,19438,288,5,131,Direct,17.18,Fitness
POST_00220,2024-05-06,Video,270,19,14,28,3939,9744,305,21,19,Explore,8.4,Food
POST_00451,2024-05-07,Video,2312,88,156,188,16996,31718,360,10,85,Hashtag,16.14,Education
POST_00272,2024-05-07,Video,2624,127,31,508,15669,31763,141,20,141,Home Feed,21.0,Fitness
POST_00468,2024-05-07,Carousel,1734,76,107,286,20727,51413,151,10,304,Hashtag,10.63,Fitness
POST_00282,2024-05-07,Reel,501,49,36,75,5302,11876,133,8,53,Explore,12.47,Lifestyle
POST_00148,2024-05-08,Photo,1008,94,37,115,13003,17458,325,24,77,Profile,9.64,Fashion
POST_00413,2024-05-08,Carousel,402,24,6,69,4798,6083,311,13,44,Home Feed,10.44,Technology
POST_00352,2024-05-13,Carousel,1169,70,63,63,9471,21705,397,27,141,Other,14.41,Education
POST_00500,2024-05-13,Carousel,738,64,36,99,4735,6548,382,25,27,Hashtag,19.79,Lifestyle
POST_00164,2024-05-14,Photo,1290,102,88,191,7477,16621,124,26,70,Explore,22.35,Fitness
POST_00123,2024-05-14,Reel,5320,618,74,666,33706,59117,98,27,463,Hashtag,19.81,Food
POST_00424,2024-05-14,Photo,1468,80,38,107,10435,20776,120,8,91,Home Feed,16.22,Lifestyle
POST_00304,2024-05-15,Photo,166,8,10,32,1574,2806,206,8,10,Hashtag,13.72,Fitness
POST_00048,2024-05-15,Photo,687,33,46,97,7047,12093,233,20,101,Explore,12.25,Beauty
POST_00410,2024-05-15,Reel,3964,220,103,442,29611,72618,206,21,386,Home Feed,15.97,Fashion
POST_00397,2024-05-15,Carousel,1458,45,62,162,15208,33605,189,16,20,Hashtag,11.36,Food
POST_00357,2024-05-15,Reel,350,28,19,19,9760,16308,138,11,31,Explore,4.26,Travel
POST_00118,2024-05-15,Reel,2286,119,39,170,30658,69230,391,21,230,Home Feed,8.53,Technology
POST_00203,2024-05-15,Reel,6397,285,67,908,47267,58007,309,4,626,Home Feed,16.2,Travel
POST_00375,2024-05-15,Reel,1670,195,86,316,9431,12305,101,28,107,Hashtag,24.04,Food
POST_00155,2024-05-16,Carousel,1929,224,28,183,15473,25098,151,10,111,Explore,15.28,Education
POST_00469,2024-05-16,Reel,1190,136,52,99,9358,20621,357,11,93,Hashtag,15.78,Travel
POST_00081,2024-05-16,Carousel,647,54,47,83,3899,7226,243,28,51,Home Feed,21.31,Food
POST_00106,2024-05-17,Reel,1135,100,24,114,7356,9379,311,20,11,Home Feed,18.67,Travel
POST_00094,2024-05-18,Photo,1153,114,66,221,8179,14487,43,16,20,Other,19.0,Lifestyle
POST_00402,2024-05-19,Carousel,1842,106,144,284,18945,45058,60,4,43,Profile,12.54,Food
POST_00004,2024-05-20,Photo,1466,85,35,154,11445,18688,198,3,107,Home Feed,15.2,Beauty
POST_00418,2024-05-21,Reel,1493,135,116,239,47668,73098,108,13,429,Explore,4.16,Lifestyle
POST_00242,2024-05-22,Carousel,1397,65,102,198,11467,26600,270,17,77,Hashtag,15.37,Travel
POST_00072,2024-05-22,Reel,1084,33,34,179,31015,63061,317,2,327,Home Feed,4.29,Fashion
POST_00037,2024-05-22,Reel,4050,303,229,463,48408,110074,40,11,320,Explore,10.42,Education
POST_00031,2024-05-22,Photo,499,19,37,92,4496,10316,94,16,12,Hashtag,14.39,Lifestyle
POST_00488,2024-05-22,Reel,3120,95,112,277,42957,96107,111,23,286,Explore,8.39,Beauty
POST_00490,2024-05-22,Carousel,2499,95,49,361,20091,48009,200,2,75,Home Feed,14.95,Beauty
POST_00280,2024-05-22,Video,1508,90,49,245,17504,23261,76,25,62,Profile,10.81,Travel
POST_00403,2024-05-24,Photo,1529,94,102,120,14350,19817,51,11,140,Hashtag,12.86,Beauty
POST_00381,2024-05-25,Reel,1093,111,57,89,18076,25425,199,11,193,Hashtag,7.47,Fitness
POST_00306,2024-05-26,Carousel,950,91,30,151,10848,25515,200,12,73,Explore,11.26,Lifestyle
POST_00067,2024-05-28,Reel,1402,49,100,149,11090,19117,191,21,137,Explore,15.33,Technology
POST_00056,2024-05-30,Carousel,2540,107,190,446,20301,29864,215,17,88,Hashtag,16.17,Technology
POST_00159,2024-05-30,Reel,4092,373,238,276,38297,65595,344,23,542,Home Feed,13.0,Travel
POST_00314,2024-05-31,Carousel,342,21,23,67,4667,10418,35,26,25,Explore,9.71,Technology
POST_00170,2024-06-01,Photo,931,32,38,102,13668,17084,284,12,44,Home Feed,8.07,Food
POST_00362,2024-06-02,Photo,2032,204,107,185,12214,18992,98,5,47,Home Feed,20.7,Fitness
POST_00393,2024-06-02,Reel,6244,538,75,456,36010,54894,116,8,39,Hashtag,20.31,Education
POST_00386,2024-06-03,Video,1824,80,128,182,15645,38230,90,21,122,Home Feed,14.15,Travel
POST_00480,2024-06-05,Photo,935,65,71,149,6101,13472,266,12,55,Explore,20.0,Education
POST_00445,2024-06-06,Video,873,102,46,45,5040,10431,136,5,44,Home Feed,21.15,Food
POST_00187,2024-06-06,Video,496,42,7,32,13970,18073,151,10,43,Home Feed,4.13,Education
POST_00211,2024-06-08,Photo,1487,75,21,155,10847,14728,201,10,152,Home Feed,16.02,Beauty
POST_00355,2024-06-09,Reel,1897,176,112,318,31523,61914,106,12,206,Other,7.94,Fashion
POST_00320,2024-06-09,Reel,3664,304,185,699,30426,59451,144,8,319,Home Feed,15.95,Food
POST_00351,2024-06-10,Photo,1655,101,34,180,10218,17706,74,8,84,Home Feed,19.28,Travel
POST_00364,2024-06-10,Photo,1322,85,90,119,12022,19095,362,12,124,Explore,13.44,Fitness
POST_00104,2024-06-10,Photo,406,12,10,80,2927,3733,290,18,29,Profile,17.36,Beauty
POST_00110,2024-06-10,Reel,3395,376,156,344,25049,34690,209,19,132,Home Feed,17.05,Food
POST_00182,2024-06-14,Reel,1643,133,61,228,26927,50242,37,5,240,Profile,7.67,Education
